NounRatio,AdjectiveRatio,VerbRatio,AdverbRatio,Conjunction,AvgWordLength,Target
0.225296763423908,0.07330983956227395,0.1578642307335621,0.066493554669387,15563,4.33848418807382,1
0.22929359879674713,0.0722589033063961,0.15712391974915238,0.06283937084151223,14320,4.364914472174777,1
0.22448210922787193,0.07372881355932204,0.1583427495291902,0.06702448210922787,9142,4.367758945386064,1
0.22933384282257038,0.07438542860782066,0.15819640810087887,0.06365431155266844,5423,4.32712393325691,1
0.2118385292605379,0.07590845654204137,0.1623521757835864,0.0695914962381557,16293,4.371535902790166,1
0.236412736115824,0.07415733514308336,0.16446103381970364,0.06344022169437846,12165,4.389308336161068,1
0.22708322338909706,0.07889598395693705,0.15066758140271255,0.06534381761570532,16474,4.418069555121642,1
0.2195685260278638,0.07921708866822057,0.1547516417084411,0.06815883861766553,16229,4.403280223932224,1
0.24064697455189685,0.07752539889108824,0.15884559442700757,0.05829988735906213,16584,4.510853993285288,1
0.22467516227676287,0.06784362317687315,0.15899143997180762,0.06855980083440381,14792,4.254413586913274,1
0.22489619971967312,0.06688176024118689,0.1643085711263322,0.06844207018750165,6633,4.226086266627879,1
0.2344016983379071,0.0825868585926578,0.14694765184072905,0.05602443949671206,7323,4.481592709573862,1
0.22597333687073026,0.07904423957020627,0.1488359753266565,0.06314253498706639,11287,4.3780095509716785,1
0.21893980274865954,0.0758464700276703,0.16046476916541327,0.06024317714731851,15469,4.432207768350231,1
0.2127227007650741,0.06804076828420096,0.1601974212187684,0.07162538119950779,12041,4.18837943395217,1
0.23166288824395967,0.07374540193890423,0.1543448920723693,0.05942856134717677,21281,4.380609193475825,1
0.23852680293096798,0.07177015040493637,0.14516004627844195,0.05291168530659468,4932,4.62317778634786,1
0.2128289031332646,0.075530055134699,0.16119055089874043,0.06713658164866197,15646,4.37684342641983,1
0.22134169451814079,0.07278709988629707,0.15534231471591498,0.06594769665437757,10059,4.347913723598525,1
0.2303735124611596,0.07186601513647323,0.1572955480202679,0.06291821920810717,14159,4.361354288882299,1
0.22050850091183422,0.07669220892861524,0.15002330697328284,0.0672958186472142,21928,4.363875009200121,1
0.21979359796278508,0.07289968056827574,0.1517300690240579,0.07023030357182747,14353,4.229566421694551,1
0.21814563453589836,0.07382762667755269,0.1596775016584171,0.06936776037148543,17137,4.296004490483237,1
0.2284689933337068,0.06625959330009523,0.15937482493977928,0.06308890258248838,15609,4.276253431180326,1
0.22656423136588608,0.07401935436211864,0.1482972593632267,0.062015217551894805,4914,4.224532762059541,1
0.2283769997421496,0.07256807811746768,0.1542842408547181,0.06805009024764852,15028,4.356528660635209,1
0.2436078953943533,0.06841842258682435,0.13550428916465396,0.0581327558923961,4412,4.4432830848671605,1
